Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
Unknown Product,82%,$24.41 off,5.0,29.41,https://www.amazon.com/l-f-Monochromatic-Multi-Stick-Glistening/dp/B07MWTH3BY/ref=sr_1_16?dib=eyJ2IjoiMSJ9.GKbw4IMVgpE0LojRa2SiN48SDvtGLAVyyjmoKPkcOkFSDOmnZslwEc0Pnhd3h00pYJRnvTMQDmn6PoCRJiWq-qv0q7Evb7WjdlpakURLP_rkjG8U6MiaoHIMkH9gkdPcR3Px39dutPmrrLQuKTenUWeUYD85SBsi8rQnS-c0lFqd46LzXayo83lvWVddU-BYMzdHRXa8GJngICCTLxGLI5dYgNU5sBrGbPpkUigidU-PvE-w6vk0kVrQnsLQQ3lA0rpBUSZmO3f4JfRuflG5NmZGLGK8zjLw22Wue7YMDe0.GCWXw1dmTQExaJ9gmUx9TqXFs5z5xDaw1HtPJGCy43k&dib_tag=se&keywords=sale+items&qid=1747578768&sr=8-16&tag=nicdav09-20
Unknown Product,53%,$21.01 off,17.99,39.0,https://www.amazon.com/Playtex-Womens-Ultimate-Support-White/dp/B00551OPJG/ref=sr_1_33?dib=eyJ2IjoiMSJ9.GKbw4IMVgpE0LojRa2SiN48SDvtGLAVyyjmoKPkcOkFSDOmnZslwEc0Pnhd3h00pYJRnvTMQDmn6PoCRJiWq-qv0q7Evb7WjdlpakURLP_rkjG8U6MiaoHIMkH9gkdPcR3Px39dutPmrrLQuKTenUWeUYD85SBsi8rQnS-c0lFqd46LzXayo83lvWVddU-BYMzdHRXa8GJngICCTLxGLI5dYgNU5sBrGbPpkUigidU-PvE-w6vk0kVrQnsLQQ3lA0rpBUSZmO3f4JfRuflG5NmZGLGK8zjLw22Wue7YMDe0.GCWXw1dmTQExaJ9gmUx9TqXFs5z5xDaw1HtPJGCy43k&dib_tag=se&keywords=sale+items&qid=1747578768&sr=8-33&tag=nicdav09-20
Unknown Product,54%,$16.47 off,13.48,29.95,https://www.amazon.com/Utopia-Bedding-4-Piece-Queen-Sheets/dp/B00NX0WXQI/ref=sr_1_7?dib=eyJ2IjoiMSJ9.DeBUrjwRiil_MsZfaWFxnFuQKitXhUp7pMmKjQ097J6aMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wMctDoIWlwpNI6lk-NjG6Q9R1lOPbZPUV9Dsdt8thTSrukaDcsXruQQJt9zLxplgdxufHJbpRQ0wNdbkfmzESoc9YraHw0pawLhnYgyjWMzFvVB-oj9BF8P7lJyBy7fX5Rrc_Y95kGKs2-uIBsNi0txoVbPMVLFBtP-h-oHnIT4jF_HhK6S2sOrVTeLOKGQ3fACF71mme6Ke60FhZfl_H6o.RPQu4s6L8LRRTLU5DP0T9hrfQ0gh-g8NPmsbiOBZg2Y&dib_tag=se&keywords=clearance+sale&qid=1747578770&sr=8-7&tag=nicdav09-20
Unknown Product,61%,$3.05 off,1.94,4.99,https://www.amazon.com/wet-wild-Multi-Stick-Moisturizing-Cruelty-Free/dp/B0CQNQ7WL2/ref=sr_1_13?dib=eyJ2IjoiMSJ9.DeBUrjwRiil_MsZfaWFxnFuQKitXhUp7pMmKjQ097J6aMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wMctDoIWlwpNI6lk-NjG6Q9R1lOPbZPUV9Dsdt8thTSrukaDcsXruQQJt9zLxplgdxufHJbpRQ0wNdbkfmzESoc9YraHw0pawLhnYgyjWMzFvVB-oj9BF8P7lJyBy7fX5Rrc_Y95kGKs2-uIBsNi0txoVbPMVLFBtP-h-oHnIT4jF_HhK6S2sOrVTeLOKGQ3fACF71mme6Ke60FhZfl_H6o.RPQu4s6L8LRRTLU5DP0T9hrfQ0gh-g8NPmsbiOBZg2Y&dib_tag=se&keywords=clearance+sale&qid=1747578770&sr=8-13&tag=nicdav09-20
Unknown Product,68%,$17.00 off,7.99,24.99,https://www.amazon.com/MISSWHO-Waisted-Underwear-Covergae-Postpartum/dp/B0C6TM1784/ref=sr_1_15?dib=eyJ2IjoiMSJ9.DeBUrjwRiil_MsZfaWFxnFuQKitXhUp7pMmKjQ097J6aMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wMctDoIWlwpNI6lk-NjG6Q9R1lOPbZPUV9Dsdt8thTSrukaDcsXruQQJt9zLxplgdxufHJbpRQ0wNdbkfmzESoc9YraHw0pawLhnYgyjWMzFvVB-oj9BF8P7lJyBy7fX5Rrc_Y95kGKs2-uIBsNi0txoVbPMVLFBtP-h-oHnIT4jF_HhK6S2sOrVTeLOKGQ3fACF71mme6Ke60FhZfl_H6o.RPQu4s6L8LRRTLU5DP0T9hrfQ0gh-g8NPmsbiOBZg2Y&dib_tag=se&keywords=clearance+sale&qid=1747578770&sr=8-15&tag=nicdav09-20
Unknown Product,60%,$15.00 off,9.99,24.99,https://www.amazon.com/K-CHEONY-Waisted-Underwear-Coverage-Breathable/dp/B0D5QY3H9Q/ref=sr_1_17?dib=eyJ2IjoiMSJ9.DeBUrjwRiil_MsZfaWFxnFuQKitXhUp7pMmKjQ097J6aMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wMctDoIWlwpNI6lk-NjG6Q9R1lOPbZPUV9Dsdt8thTSrukaDcsXruQQJt9zLxplgdxufHJbpRQ0wNdbkfmzESoc9YraHw0pawLhnYgyjWMzFvVB-oj9BF8P7lJyBy7fX5Rrc_Y95kGKs2-uIBsNi0txoVbPMVLFBtP-h-oHnIT4jF_HhK6S2sOrVTeLOKGQ3fACF71mme6Ke60FhZfl_H6o.RPQu4s6L8LRRTLU5DP0T9hrfQ0gh-g8NPmsbiOBZg2Y&dib_tag=se&keywords=clearance+sale&qid=1747578770&sr=8-17&tag=nicdav09-20
Unknown Product,82%,$24.41 off,5.0,29.41,https://www.amazon.com/l-f-Monochromatic-Multi-Stick-Glistening/dp/B07MWTH3BY/ref=sr_1_47?dib=eyJ2IjoiMSJ9.DeBUrjwRiil_MsZfaWFxnFuQKitXhUp7pMmKjQ097J6aMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wMctDoIWlwpNI6lk-NjG6Q9R1lOPbZPUV9Dsdt8thTSrukaDcsXruQQJt9zLxplgdxufHJbpRQ0wNdbkfmzESoc9YraHw0pawLhnYgyjWMzFvVB-oj9BF8P7lJyBy7fX5Rrc_Y95kGKs2-uIBsNi0txoVbPMVLFBtP-h-oHnIT4jF_HhK6S2sOrVTeLOKGQ3fACF71mme6Ke60FhZfl_H6o.RPQu4s6L8LRRTLU5DP0T9hrfQ0gh-g8NPmsbiOBZg2Y&dib_tag=se&keywords=clearance+sale&qid=1747578770&sr=8-47&tag=nicdav09-20
Unknown Product,56%,$27.01 off,20.99,48.0,https://www.amazon.com/Bali-Womens-Comfort-Revolution-White/dp/B00550PNLQ/ref=sr_1_52?dib=eyJ2IjoiMSJ9.DeBUrjwRiil_MsZfaWFxnFuQKitXhUp7pMmKjQ097J6aMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wMctDoIWlwpNI6lk-NjG6Q9R1lOPbZPUV9Dsdt8thTSrukaDcsXruQQJt9zLxplgdxufHJbpRQ0wNdbkfmzESoc9YraHw0pawLhnYgyjWMzFvVB-oj9BF8P7lJyBy7fX5Rrc_Y95kGKs2-uIBsNi0txoVbPMVLFBtP-h-oHnIT4jF_HhK6S2sOrVTeLOKGQ3fACF71mme6Ke60FhZfl_H6o.RPQu4s6L8LRRTLU5DP0T9hrfQ0gh-g8NPmsbiOBZg2Y&dib_tag=se&keywords=clearance+sale&qid=1747578770&sr=8-52&tag=nicdav09-20
Unknown Product,60%,$60.00 off,39.99,99.99,https://www.amazon.com/HUNTER-Dishwasher-Kitchen-Sharpening-Knives/dp/B09Z65MVY5/ref=sr_1_60?dib=eyJ2IjoiMSJ9.DeBUrjwRiil_MsZfaWFxnFuQKitXhUp7pMmKjQ097J6aMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wMctDoIWlwpNI6lk-NjG6Q9R1lOPbZPUV9Dsdt8thTSrukaDcsXruQQJt9zLxplgdxufHJbpRQ0wNdbkfmzESoc9YraHw0pawLhnYgyjWMzFvVB-oj9BF8P7lJyBy7fX5Rrc_Y95kGKs2-uIBsNi0txoVbPMVLFBtP-h-oHnIT4jF_HhK6S2sOrVTeLOKGQ3fACF71mme6Ke60FhZfl_H6o.RPQu4s6L8LRRTLU5DP0T9hrfQ0gh-g8NPmsbiOBZg2Y&dib_tag=se&keywords=clearance+sale&qid=1747578770&sr=8-60&tag=nicdav09-20
Unknown Product,53%,$21.01 off,17.99,39.0,https://www.amazon.com/Playtex-Womens-Ultimate-Support-White/dp/B00551OP0A/ref=sr_1_9?dib=eyJ2IjoiMSJ9.trrK31QAGtuwu4H5PL65962e9b060LmKpvoivxtQTlrjh4zXqTRw2HRoMu92ejbOX8iPB-eAaYZurRk_BcvcN5UArk11lWkCIUibHzsUId9Om6D5ylz-lWDgeIzwZCXFPPVPaP0_5FJduZc-I_zM1QOhJgoKvXZfQV_xSYSv-mQxRrnW82bPN35Zd1hos6zDuGAElBTEtBkrxWXuYGEkUssFn8IZ66efjutH7sVNmP6tFjVUh7Y3RC9SL0gjKu4lhvbfBVWsZ1-MvuoI5zsQI35wYjJGb77EgmUMcUl_Mn8.DLVAw1XYfmZXv49oV-pCaOS4OQLC89-3sUK9SZ0XTTk&dib_tag=se&keywords=discount+50+percent+or+more&qid=1747578773&sr=8-9&tag=nicdav09-20
