Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=GqgDU&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=8B77GKYE0VAYFX3W902J&pd_rd_wg=tijUX&pd_rd_r=9e7f2ba2-2e1d-4516-bfb4-692b7259136d&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
"Astercook Knife Set, 13 Pieces Kitchen Knives Set with Healthy Anti-Rust Coating, Dishwasher Safe, Stainless Steel Chef Knife Sets with 6 Blade Guards, Perfect Holiday Gifts for Kitchen",64%,$32.01 off,17.98,49.99,https://www.amazon.com/Astercook-Kitchen-Anti-Rust-Dishwasher-Stainless/dp/B0D9B96TBX/ref=sr_1_13?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvClYvVR7ew9VVQtHlKGnejQv_Uao9W7xBsce61AbXOJynNHKxsWFTms9ca6YTAPCniMvTojgtSLj4qxm4CXGN9ig2qytblEvO7aI4Mh8KynjdLdmpSZotJwD1PzPVZYq1cxDy_FTcUMnLBVQ89yzk4qHoj89BT0Uo62V79Uj3Tx8UXRvGzeOsmkdReMiqZJgvGBpC1rbthZaePNBcDer_yfZDSMj3G5UObbFTeJC0-B_uxbJquY2yApTJ8RWsvJOUgxnAKYl8ESWrN8nje6G_bE.VN11SSKECS80j0qIlx-5s9ubH1eb2zgyejZw23sbRgM&dib_tag=se&keywords=home+sale&qid=1748117558&sr=8-13&tag=nicdav09-20
"Yankee Candle MidSummer's Night Scented, Classic Large Single Wick Jar Candle, 22oz with Over 110 Hours of Burn Time, Ideal for Dinner Parties, Relaxing Saturdays, and Special Occasions",50%,$15.50 off,15.49,30.99,https://www.amazon.com/Yankee-Candle-Large-Midsummers-Night/dp/B000ORX6WI/ref=sr_1_25?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvClYvVR7ew9VVQtHlKGnejQv_Uao9W7xBsce61AbXOJynNHKxsWFTms9ca6YTAPCniMvTojgtSLj4qxm4CXGN9ig2qytblEvO7aI4Mh8KynjdLdmpSZotJwD1PzPVZYq1cxDy_FTcUMnLBVQ89yzk4qHoj89BT0Uo62V79Uj3Tx8UXRvGzeOsmkdReMiqZJgvGBpC1rbthZaePNBcDer_yfZDSMj3G5UObbFTeJC0-B_uxbJquY2yApTJ8RWsvJOUgxnAKYl8ESWrN8nje6G_bE.VN11SSKECS80j0qIlx-5s9ubH1eb2zgyejZw23sbRgM&dib_tag=se&keywords=home+sale&qid=1748117558&sr=8-25&tag=nicdav09-20
"Yankee Candle Home Sweet Home Scented, Classic 22oz Large Jar Single Wick Candle, Over 110 Hours of Burn Time, Ideal for Fall, Outdoors, Home and Christmas Decorations",50%,$15.50 off,15.49,30.99,https://www.amazon.com/Yankee-Candle-Large-Home-Sweet/dp/B000WUFVR0/ref=sr_1_39?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvClYvVR7ew9VVQtHlKGnejQv_Uao9W7xBsce61AbXOJynNHKxsWFTms9ca6YTAPCniMvTojgtSLj4qxm4CXGN9ig2qytblEvO7aI4Mh8KynjdLdmpSZotJwD1PzPVZYq1cxDy_FTcUMnLBVQ89yzk4qHoj89BT0Uo62V79Uj3Tx8UXRvGzeOsmkdReMiqZJgvGBpC1rbthZaePNBcDer_yfZDSMj3G5UObbFTeJC0-B_uxbJquY2yApTJ8RWsvJOUgxnAKYl8ESWrN8nje6G_bE.VN11SSKECS80j0qIlx-5s9ubH1eb2zgyejZw23sbRgM&dib_tag=se&keywords=home+sale&qid=1748117558&sr=8-39&tag=nicdav09-20
"Yankee Candle Pink Sands Scented, Classic 22oz Large Jar Single Wick Candle, Over 110 Hours of Burn Time, Perfect for Creating Relaxing Atmosphere",50%,$15.50 off,15.49,30.99,https://www.amazon.com/Yankee-Candle-Large-Pink-Sands/dp/B004G9C0SQ/ref=sr_1_45?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvClYvVR7ew9VVQtHlKGnejQv_Uao9W7xBsce61AbXOJynNHKxsWFTms9ca6YTAPCniMvTojgtSLj4qxm4CXGN9ig2qytblEvO7aI4Mh8KynjdLdmpSZotJwD1PzPVZYq1cxDy_FTcUMnLBVQ89yzk4qHoj89BT0Uo62V79Uj3Tx8UXRvGzeOsmkdReMiqZJgvGBpC1rbthZaePNBcDer_yfZDSMj3G5UObbFTeJC0-B_uxbJquY2yApTJ8RWsvJOUgxnAKYl8ESWrN8nje6G_bE.VN11SSKECS80j0qIlx-5s9ubH1eb2zgyejZw23sbRgM&dib_tag=se&keywords=home+sale&qid=1748117558&sr=8-45&tag=nicdav09-20
Best Seller,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_7pza2I-rAsNk0zm7uMbRFXgn0jdA7TvTnYO_K-rJ09KSY_akiLq6kX7xfPrTD4aJ_seBCmzSh2AVaQbSuloqPO6VbkX5T5k0wCaMQdIt10MLSEdBx88FDzHLMGjEq9uQ7iNE5KZaMHAA1kTSgTvnzjX2SGHwEAYr4dZ1FXZXY9eQ.ODh6wMmEnw0Mdh8CmE4d8poKsnSa8PlepthkQpcZ8zs&dib_tag=se&keywords=books+sale&qid=1748117560&sr=8-1&tag=nicdav09-20
Goodreads Choice,54%,$10.28 off,8.72,19.0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/1250229537/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_7pza2I-rAsNk0zm7uMbRFXgn0jdA7TvTnYO_K-rJ09KSY_akiLq6kX7xfPrTD4aJ_seBCmzSh2AVaQbSuloqPO6VbkX5T5k0wCaMQdIt10MLSEdBx88FDzHLMGjEq9uQ7iNE5KZaMHAA1kTSgTvnzjX2SGHwEAYr4dZ1FXZXY9eQ.ODh6wMmEnw0Mdh8CmE4d8poKsnSa8PlepthkQpcZ8zs&dib_tag=se&keywords=books+sale&qid=1748117560&sr=8-4&tag=nicdav09-20
Editors' pick,58%,$9.96 off,7.03,16.99,https://www.amazon.com/Love-Other-Words-Christina-Lauren/dp/1501128019/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_7pza2I-rAsNk0zm7uMbRFXgn0jdA7TvTnYO_K-rJ09KSY_akiLq6kX7xfPrTD4aJ_seBCmzSh2AVaQbSuloqPO6VbkX5T5k0wCaMQdIt10MLSEdBx88FDzHLMGjEq9uQ7iNE5KZaMHAA1kTSgTvnzjX2SGHwEAYr4dZ1FXZXY9eQ.ODh6wMmEnw0Mdh8CmE4d8poKsnSa8PlepthkQpcZ8zs&dib_tag=se&keywords=books+sale&qid=1748117560&sr=8-6&tag=nicdav09-20
"NutriChef 3-Piece Nonstick Kitchen Oven Baking Pans - Premium & Stylish Non-Stick Steel, Commercial Grade Restaurant Quality Metal Bakeware with Red Silicone Handles - Easy to Clean, NCSBS3S",50%,$17.00 off,16.99,33.99,https://www.amazon.com/NutriChef-3-Piece-Nonstick-Kitchen-Baking/dp/B089N57JGS/ref=sr_1_19?dib=eyJ2IjoiMSJ9.MhDZ03rqgPMTFRNpfwak1qPs510cY7LqeJRfYKsEcDshztCVSxBxQvQQ4dZc738lQb8jOFxKEf2HZ9T1UFMXzlWaTpNjRt4lrzFkV9q5ogO5o9W1rxJCi-P4g01ww4YisPUFj6ev4AoHNMUFf1EPbJCBXKRMFi8dNUYFBdclFAvhHCZlKwyBOymCAwuX3oaqWoAv4aflDyxAXmR9kumBNCUrCXcHdglQlpSrJKicAzrOnqo1ROYwN-s5q1WzPqgYbahb9MnfdJIQsE3sCsfUUW2j2E67FL9zP9KFoDQfh5k.OK_L8hDHkvrJvu6wyN52YQzzb7sLwiD9XiqY-RIZ5YY&dib_tag=se&keywords=kitchen+sale&qid=1748117562&sr=8-19&tag=nicdav09-20
"Astercook 21 Pcs Pots and Pans Set Non Stick, Ceramic Cookware Set Detachable Handle, RV Kitchen Cooking Set Removable Handles, Oven Safe, Induction Ready, Stackable Non-stick Set, Cream White",52%,$73.51 off,66.48,139.99,https://www.amazon.com/Astercook-Detachable-Removable-Induction-Stackable/dp/B0DB6ZH1M9/ref=sr_1_26?dib=eyJ2IjoiMSJ9.MhDZ03rqgPMTFRNpfwak1qPs510cY7LqeJRfYKsEcDshztCVSxBxQvQQ4dZc738lQb8jOFxKEf2HZ9T1UFMXzlWaTpNjRt4lrzFkV9q5ogO5o9W1rxJCi-P4g01ww4YisPUFj6ev4AoHNMUFf1EPbJCBXKRMFi8dNUYFBdclFAvhHCZlKwyBOymCAwuX3oaqWoAv4aflDyxAXmR9kumBNCUrCXcHdglQlpSrJKicAzrOnqo1ROYwN-s5q1WzPqgYbahb9MnfdJIQsE3sCsfUUW2j2E67FL9zP9KFoDQfh5k.OK_L8hDHkvrJvu6wyN52YQzzb7sLwiD9XiqY-RIZ5YY&dib_tag=se&keywords=kitchen+sale&qid=1748117562&sr=8-26&tag=nicdav09-20
